r/R,y/R (y-distance of LE from the middle point of hub)
0.133333333,0.015681524
0.18690508,0.015849823
0.244444444,0.016135053
0.281537243,0.016349373
0.328959117,0.016676427
0.372480645,0.017024049
0.437482436,0.017612018
0.506942778,0.018294208
0.551513178,0.018730263
0.593367001,0.019109526
0.655064075,0.019541189
0.716803689,0.01967062
0.772330223,0.01930848
0.837219325,0.017874511
0.887558528,0.015677733
0.924595988,0.013224427
0.971242511,0.008351257
1,0.000293333
