r/R,z/R  (height of leading edge from top face of hub)
0.133333333,4.394703
0.18690508,4.216593
0.244444444,3.764349
0.281537243,3.437726
0.328959117,5.541155
0.372480645,2.71782
0.437482436,2.277619
0.506942778,1.879323
0.551513178,1.663871
0.593367001,1.48996
0.655064075,1.281369
0.716803689,1.12127
0.772330223,1.00205
0.837219325,0.851229
0.887558528,0.700256
0.924595988,0.56163
0.971242511,0.326195
1,0
