r/R,z/R  (height of leading edge from top face of hub)
0.133333333,0.007990369
0.18690508,0.007666532
0.244444444,0.006844271
0.281537243,0.00625041
0.328959117,0.005541155
0.372480645,0.00494149
0.437482436,0.004141125
0.506942778,0.003416951
0.551513178,0.00302522
0.593367001,0.002709018
0.655064075,0.002329761
0.716803689,0.002038672
0.772330223,0.001821909
0.837219325,0.001547689
0.887558528,0.001273193
0.924595988,0.001021145
0.971242511,0.000593081
1,0
