Alpha,Cl,Cd,Cm
-20.0,-0.30814687677977837,0.1907055191303519,-0.01224976549857
-19.0,-0.29033867880983066,0.18074366128936367,-0.01876592109907848
-18.0,-0.27566315475279557,0.17104499586651384,-0.02510921185050512
-17.0,-0.2496841641049412,0.16201931976206768,-0.02906286184525901
-16.0,-0.227088804838403,0.15422755706256616,-0.03390617196243104
-15.0,-0.22617581768838002,0.14575763241611506,-0.040894350245078766
-14.0,-0.8664214015820396,0.039544455290364294,-0.08980284083765781
-13.0,-0.867544632232451,0.02954813988669936,-0.08870598078651272
-12.0,-0.804308949178309,0.025157786121426263,-0.0845026227770681
-11.0,-0.7280929549026394,0.020067489304534742,-0.0817322314488044
-10.0,-0.6252635415436862,0.01807441654855456,-0.08107365307067219
-9.0,-0.5201581275893211,0.015749920430854773,-0.08078488337985627
-8.0,-0.40681457462644705,0.014780503028768896,-0.08130517336924425
-7.0,-0.2950197549052203,0.012978266770141841,-0.08178079276087964
-6.0,-0.17882212695251462,0.012033979939000107,-0.08271280365199836
-5.0,-0.06236887628415316,0.010954783069942107,-0.08374410630358489
-4.0,0.05567937018403643,0.010243075364896555,-0.08504633237552899
-3.0,0.17383490109117944,0.009720394777906772,-0.08646217834326458
-2.0,0.2918235004699578,0.009229451305410573,-0.08804434917848723
-1.0,0.4080229010758569,0.008592445868937133,-0.08956440841513563
0.0,0.5166984744041435,0.007635251022119129,-0.08902333715398242
1.0,0.6474914971662881,0.007740134423909616,-0.09302643884007691
2.0,0.7607404167344927,0.008255551534022736,-0.09371822518056946
3.0,0.8735293627667827,0.008874269441375664,-0.09446558719399445
4.0,0.9853053113880871,0.009547836194765935,-0.09513005816023178
5.0,1.0943298865798687,0.010359915223125021,-0.09541898850301604
6.0,1.2007345538907732,0.011234823036050907,-0.09533555495459722
7.0,1.3001534049544714,0.012407196042208916,-0.09416414069906465
8.0,1.392830418893499,0.01370273795065018,-0.091879362909475
9.0,1.468056220477695,0.015475300546040042,-0.08668389656488243
10.0,1.5150167082299222,0.018349461298734812,-0.07754116710827533
11.0,1.5610468082750695,0.022161747776346864,-0.0704988993371213
12.0,1.601146154180996,0.027024557227379925,-0.06457463022619421
13.0,1.6348683743884993,0.032962723763602014,-0.05968981716948635
14.0,1.6569434819043116,0.04047716424767526,-0.05552416009825248
15.0,1.6668395171310708,0.050010663560084996,-0.052481280484617504
16.0,1.66854853538028,0.0611942791955858,-0.050786273531822586
17.0,1.654930072577501,0.07485551571720037,-0.050337616469741366
18.0,1.6496739542403451,0.08804100645399947,-0.051204315375345165
19.0,1.6186988181914748,0.10513875918615957,-0.05384740197001279
20.0,1.5845234904265912,0.12334980835623964,-0.058545408698644316
