x/c,y/c
1,0
0.99477,0.00067
0.98658,0.00182
0.97768,0.00309
0.96877,0.00441
0.95987,0.00575
0.95089,0.00711
0.94184,0.00847
0.93269,0.00988
0.92353,0.01129
0.9144,0.0127
0.90527,0.01412
0.89616,0.01556
0.88714,0.01697
0.87818,0.01832
0.86924,0.01966
0.8603,0.02104
0.8514,0.02238
0.84253,0.02371
0.83364,0.02512
0.82468,0.02654
0.8157,0.02793
0.80672,0.02934
0.79774,0.03079
0.78871,0.0322
0.77969,0.03361
0.77071,0.03505
0.76177,0.03641
0.75282,0.03771
0.74382,0.03898
0.73476,0.04023
0.72568,0.04151
0.71666,0.04281
0.70773,0.04406
0.69884,0.04522
0.68991,0.04632
0.68092,0.0474
0.67189,0.04848
0.66286,0.04961
0.65389,0.05076
0.64498,0.05182
0.63607,0.05279
0.62712,0.05372
0.61812,0.05464
0.60908,0.05557
0.60005,0.05655
0.59108,0.05756
0.58215,0.05847
0.57319,0.05931
0.56416,0.06009
0.55506,0.06086
0.54594,0.06164
0.53688,0.06246
0.52795,0.06327
0.51906,0.06396
0.51012,0.06456
0.50108,0.06511
0.492,0.06568
0.48301,0.06628
0.47417,0.06678
0.46534,0.06716
0.45643,0.06747
0.44743,0.06777
0.43843,0.06811
0.42955,0.06847
0.42074,0.06868
0.41189,0.06879
0.40296,0.06886
0.39396,0.06894
0.38501,0.06909
0.37618,0.06917
0.36734,0.06911
0.3584,0.06896
0.34937,0.06879
0.34035,0.06866
0.33149,0.06854
0.32272,0.06826
0.31386,0.06786
0.30491,0.06745
0.29608,0.06705
0.28732,0.06649
0.27845,0.06582
0.26953,0.06514
0.26077,0.06448
0.25211,0.06364
0.24336,0.0627
0.23455,0.06177
0.22589,0.06086
0.21725,0.05976
0.20849,0.05855
0.19974,0.05739
0.19124,0.05618
0.18275,0.05476
0.17416,0.05326
0.16571,0.0518
0.15738,0.05012
0.14895,0.04831
0.14056,0.04656
0.13236,0.04463
0.12408,0.04253
0.1158,0.04046
0.10771,0.03824
0.09955,0.03581
0.0914,0.03341
0.08354,0.03087
0.07566,0.02811
0.06812,0.02539
0.06084,0.02236
0.05363,0.01937
0.04688,0.01625
0.04025,0.01296
0.03402,0.00976
0.02812,0.00626
0.0227,0.00307
0.01819,-0.00001
0.01449,-0.0029
0.01146,-0.00551
0.00894,-0.00783
0.00691,-0.00995
0.00523,-0.01184
0.00386,-0.01358
0.00278,-0.01517
0.0019,-0.01664
0.0012,-0.01799
0.00069,-0.01926
0.00034,-0.02044
0.00016,-0.02157
0.00002,-0.02261
0.00006,-0.0236
0.00026,-0.02464
0.00058,-0.02574
0.00119,-0.02682
0.00199,-0.0279
0.00304,-0.02889
0.00425,-0.02993
0.00574,-0.03088
0.00748,-0.03181
0.00954,-0.03277
0.01203,-0.0337
0.01506,-0.03463
0.01875,-0.03559
0.02326,-0.03653
0.02866,-0.03748
0.03497,-0.03833
0.04209,-0.03922
0.04965,-0.03991
0.05765,-0.04058
0.06595,-0.04105
0.07452,-0.04149
0.08331,-0.04177
0.09231,-0.04199
0.10134,-0.04216
0.11041,-0.04233
0.11944,-0.04245
0.12851,-0.04254
0.13755,-0.04263
0.14664,-0.04265
0.15576,-0.04266
0.16487,-0.04262
0.17407,-0.04253
0.18331,-0.04243
0.19254,-0.04231
0.20178,-0.04219
0.21102,-0.04207
0.22025,-0.04195
0.22946,-0.04183
0.23865,-0.04173
0.24783,-0.04162
0.25704,-0.04149
0.26626,-0.04136
0.27546,-0.04121
0.28466,-0.04104
0.2939,-0.04084
0.30315,-0.04063
0.31241,-0.0404
0.32167,-0.04017
0.33093,-0.03994
0.34019,-0.03971
0.34945,-0.03948
0.3587,-0.03926
0.36794,-0.03905
0.37719,-0.03885
0.38644,-0.03864
0.39569,-0.03843
0.40494,-0.03822
0.41418,-0.03801
0.42341,-0.0378
0.43265,-0.03756
0.44189,-0.03731
0.45114,-0.03705
0.46038,-0.0368
0.46963,-0.03655
0.47888,-0.03632
0.48814,-0.03609
0.49741,-0.03586
0.50668,-0.03562
0.51596,-0.03539
0.52523,-0.03516
0.5345,-0.03492
0.54377,-0.03469
0.55305,-0.03445
0.56232,-0.03422
0.57159,-0.03398
0.58085,-0.03375
0.59012,-0.03353
0.59939,-0.0333
0.60866,-0.03308
0.61793,-0.03285
0.6272,-0.03262
0.63647,-0.0324
0.64574,-0.03217
0.65501,-0.03194
0.66429,-0.03171
0.67356,-0.03149
0.68283,-0.03126
0.69211,-0.03104
0.70138,-0.03081
0.71065,-0.03059
0.71992,-0.03036
0.72919,-0.03014
0.73847,-0.02991
0.74773,-0.02969
0.75699,-0.02947
0.76625,-0.02925
0.7755,-0.02904
0.78474,-0.02883
0.79399,-0.02863
0.80323,-0.02842
0.81248,-0.0282
0.82174,-0.02798
0.831,-0.02775
0.84026,-0.02752
0.84953,-0.02729
0.8588,-0.02707
0.86807,-0.02684
0.87734,-0.02662
0.88661,-0.0264
0.89589,-0.02618
0.90516,-0.02595
0.91441,-0.02572
0.92365,-0.02548
0.93281,-0.02525
0.94187,-0.02503
0.95091,-0.0248
0.96006,-0.02457
0.96914,-0.02433
0.97802,-0.02409
0.98706,-0.02384
0.99527,-0.02362
1,-0.02349
