x/c,y/c
1,0
0.99536,0.00114
0.98747,0.00307
0.97865,0.00524
0.96933,0.00756
0.95978,0.00999
0.9501,0.01247
0.94041,0.01497
0.93061,0.0175
0.92077,0.02002
0.91091,0.02258
0.90104,0.02515
0.89119,0.02772
0.88138,0.03025
0.87163,0.03278
0.86193,0.03532
0.85226,0.0378
0.84265,0.04029
0.83309,0.04279
0.82355,0.0452
0.81403,0.04762
0.80455,0.05007
0.79505,0.05243
0.78548,0.05478
0.77591,0.05717
0.76634,0.05948
0.75671,0.06173
0.74701,0.06397
0.7373,0.06627
0.72764,0.06858
0.71804,0.07084
0.70845,0.073
0.69881,0.07507
0.68909,0.07713
0.67935,0.07923
0.66968,0.08135
0.66008,0.08342
0.65053,0.08538
0.64093,0.08722
0.63124,0.08902
0.6215,0.09085
0.61181,0.09272
0.60222,0.09456
0.59272,0.09627
0.58322,0.09784
0.57364,0.09932
0.564,0.10082
0.55439,0.10239
0.54489,0.10397
0.5355,0.10546
0.52612,0.10677
0.51667,0.10795
0.50713,0.10914
0.49763,0.11041
0.48826,0.11166
0.47895,0.11274
0.46957,0.11365
0.46006,0.11452
0.45054,0.11547
0.44114,0.11642
0.43186,0.11724
0.42255,0.11785
0.41309,0.11835
0.40357,0.11891
0.39416,0.11951
0.38493,0.12
0.37575,0.12026
0.36648,0.12036
0.3571,0.12048
0.34781,0.1207
0.33871,0.12086
0.32971,0.12079
0.32062,0.12052
0.31147,0.12032
0.30245,0.12014
0.29351,0.11972
0.28444,0.11912
0.27532,0.1186
0.26635,0.11805
0.25746,0.11724
0.24842,0.11627
0.23937,0.11538
0.23056,0.11442
0.22184,0.11319
0.21302,0.11184
0.2043,0.11061
0.19586,0.10926
0.18747,0.10759
0.17901,0.10594
0.17074,0.10431
0.16259,0.10235
0.1543,0.10023
0.14609,0.09821
0.1381,0.09594
0.13003,0.09338
0.12196,0.0909
0.1142,0.08832
0.10657,0.08541
0.09893,0.08252
0.09161,0.07969
0.08458,0.07653
0.07758,0.0734
0.07091,0.07022
0.06439,0.06667
0.05793,0.06323
0.05189,0.05962
0.04601,0.05574
0.04035,0.05204
0.03527,0.04825
0.0305,0.04432
0.02599,0.04072
0.02207,0.03718
0.01857,0.03378
0.01554,0.03052
0.01293,0.0275
0.01069,0.02471
0.00884,0.02212
0.00725,0.01975
0.00588,0.01758
0.0048,0.01552
0.00378,0.01365
0.00298,0.01188
0.00233,0.0102
0.00168,0.00866
0.00125,0.00717
0.00083,0.00577
0.00051,0.00445
0.00034,0.00317
0.00021,0.00195
0.00005,0.00081
0.00001,-0.00028
0.00009,-0.0014
0.0002,-0.00255
0.0004,-0.00374
0.00066,-0.00496
0.00101,-0.0062
0.00143,-0.00748
0.002,-0.00875
0.00274,-0.01001
0.00356,-0.0113
0.00462,-0.01253
0.0058,-0.01378
0.0072,-0.01498
0.00873,-0.01622
0.01049,-0.01743
0.01245,-0.01864
0.01467,-0.01984
0.01721,-0.02099
0.02007,-0.0222
0.02335,-0.02339
0.0271,-0.02462
0.0314,-0.02584
0.03641,-0.02706
0.042,-0.02834
0.04837,-0.02947
0.05542,-0.03071
0.06309,-0.03177
0.07144,-0.03278
0.08019,-0.03361
0.0894,-0.03437
0.09885,-0.03501
0.10845,-0.03561
0.11811,-0.03608
0.1279,-0.03649
0.13756,-0.03681
0.14711,-0.03699
0.15663,-0.03721
0.16605,-0.03738
0.1755,-0.03741
0.185,-0.03751
0.19451,-0.03754
0.20402,-0.03748
0.21355,-0.03746
0.22319,-0.03744
0.23311,-0.0374
0.24304,-0.03735
0.25288,-0.03722
0.26269,-0.03706
0.27251,-0.03696
0.2823,-0.03684
0.29211,-0.03662
0.30197,-0.0364
0.31187,-0.03623
0.3218,-0.036
0.33172,-0.03573
0.34165,-0.03547
0.35166,-0.03525
0.3619,-0.03498
0.37222,-0.0347
0.38252,-0.03441
0.3928,-0.03412
0.40309,-0.03382
0.41337,-0.0335
0.42364,-0.03318
0.43388,-0.03284
0.4441,-0.03248
0.4543,-0.03214
0.46451,-0.03181
0.47473,-0.03149
0.48495,-0.03115
0.49514,-0.03083
0.50533,-0.03053
0.51551,-0.03022
0.5257,-0.02989
0.53591,-0.02955
0.54614,-0.02921
0.55639,-0.02888
0.56666,-0.02852
0.57694,-0.02815
0.58722,-0.02777
0.59748,-0.02738
0.60772,-0.02698
0.61795,-0.02658
0.6282,-0.0262
0.63845,-0.02582
0.6487,-0.02544
0.65892,-0.02506
0.66912,-0.0247
0.67934,-0.02436
0.68958,-0.02403
0.69983,-0.02368
0.71007,-0.02334
0.7203,-0.02301
0.73052,-0.02269
0.74074,-0.02237
0.75097,-0.02202
0.7612,-0.02167
0.77144,-0.02133
0.78167,-0.02099
0.79187,-0.02064
0.80206,-0.02029
0.81224,-0.01994
0.82245,-0.01962
0.83271,-0.01931
0.84302,-0.019
0.85332,-0.01869
0.86359,-0.01839
0.87385,-0.01811
0.8841,-0.01783
0.89435,-0.01755
0.90457,-0.01726
0.91476,-0.01698
0.92491,-0.01673
0.93501,-0.01649
0.94503,-0.01623
0.95485,-0.01595
0.96417,-0.01571
0.97273,-0.01549
0.98044,-0.01531
0.98514,-0.0152
1,-0.01418272
