Alpha,Cl,Cd,Cm
-20.0,-0.7884570151279446,0.27035652014174594,0.07378533726350636
-19.0,-0.7507768553367357,0.2577235632801396,0.06523323394030223
-18.0,-0.7126612081537362,0.24505793742981913,0.055934332858038754
-17.0,-0.6785009040002616,0.23583406926118358,0.04419521945859091
-16.0,-0.6565192672263067,0.22896838754587678,0.03238653174066351
-15.0,-0.6039400456832732,0.20483073496608212,0.030164585803237824
-14.0,-0.5692661571623623,0.19134153455300731,0.022830881268827433
-13.0,-0.5477774398088406,0.18076105664239203,0.011786695348117101
-12.0,-0.5134491657112237,0.16289885372202256,0.007320070469651668
-11.0,-0.48511072014550344,0.14867677031099755,0.0018452979237961779
-10.0,-0.48067023968964634,0.1359774503487768,-0.01093964490482766
-9.0,-0.450747550581835,0.11833933831933384,-0.012515206272971273
-8.0,-0.4389890235396083,0.10369615827152139,-0.020638125292694386
-7.0,-0.44179366667874964,0.08589817033080883,-0.03425181978585
-6.0,-0.4093297214496376,0.06852788314188767,-0.04674231944311703
-5.0,-0.3674574320023352,0.04835838335818095,-0.04375569229373656
-4.0,-0.28653831056383217,0.04317963153821077,-0.05542541776659514
-3.0,-0.09717705666557101,0.022680049842265765,-0.06875241793142925
-2.0,0.07518641181250735,0.017617323359589192,-0.08107141163311528
-1.0,0.2050401354805498,0.013272465078318646,-0.08336596300741955
0.0,0.312151113705554,0.013563136570606168,-0.08119201045008277
1.0,0.4176331006233138,0.01404436363726546,-0.07891778935005667
2.0,0.5258161077271635,0.014497534423488086,-0.07736405723645515
3.0,0.635461972048253,0.014864880170011918,-0.07615150652431674
4.0,0.7459465995313997,0.015362200785346078,-0.07505750321907176
5.0,0.8561946264304712,0.01604419501790706,-0.07410980808011915
6.0,0.9658939171688642,0.0168977832728493,-0.0732556847460241
7.0,1.0738614878312083,0.017859996739876025,-0.07227530186287533
8.0,1.174414073775841,0.018943386628734613,-0.06998396747798226
9.0,1.264965932744263,0.021052490396418596,-0.06678861598116291
10.0,1.309655511096509,0.027392244555177737,-0.058236654979686754
11.0,1.3186306938898065,0.03510075287904995,-0.044662268935034534
12.0,1.3391320850617567,0.04347975590422652,-0.03468569711325094
13.0,1.378192745537949,0.05292700620986318,-0.02796395085233582
14.0,1.382518354698205,0.067746956837537,-0.021474857105773022
15.0,1.3218080338601257,0.08708426021357356,-0.020083401158984347
16.0,1.2381557050574796,0.11356179242161767,-0.030027864661974137
17.0,1.0622722855713687,0.18489482313899927,-0.07986396093011988
18.0,0.7560512207899132,0.1981569337921715,-0.061888440657822945
19.0,0.7649206838851952,0.2124375216909515,-0.06617610854256141
20.0,1.1076552020410062,0.26037851822852714,-0.12170098312101299
