Alpha,Cl,Cd,Cm
-20.0,-0.10229830864884136,0.20782093256689646,-0.07547671870356312
-19.0,-0.09978723566959621,0.2013034364854869,-0.08552651139492064
-18.0,0.0019269469039271407,0.188315441992916,-0.09429143774266231
-17.0,0.030044079091159748,0.17854276706452576,-0.10057579669172763
-16.0,0.04227536573432734,0.1693158571363297,-0.10447060189112768
-15.0,-0.0019063988377204222,0.15507507445834232,-0.10832171118916935
-14.0,-0.6016467927116611,0.07467232402580783,-0.1199001862085565
-13.0,-0.6260888350929904,0.06901185034055965,-0.1144313914018491
-12.0,-0.6364513310018379,0.06455796162892193,-0.10779016930143144
-11.0,-0.6603540693163847,0.06044105697279446,-0.09826839687792925
-10.0,-0.6735447515435489,0.05702475668392583,-0.08764150547096289
-9.0,-0.6990506662166971,0.05579206052254137,-0.0738633858928516
-8.0,-0.7262090919401305,0.05506546369557553,-0.05859432402790091
-7.0,-0.7270928390568366,0.05436503779837291,-0.045638008412050214
-6.0,-0.72687432143934,0.05423312258001833,-0.03255907603719084
-5.0,-0.7197731861045219,0.05405587606338988,-0.019709311142642384
-4.0,-0.7070487485526397,0.05372513337046826,-0.006795692526373591
-3.0,-0.6991851763169414,0.05403893859727388,0.006181812477269853
-2.0,-0.720735023943323,0.05590253313171884,0.020498510773333915
-1.0,-0.6723687614472466,0.05566044942421968,0.029706962420271862
0.0,-0.686478409164991,0.05792951669844316,0.04322028521673603
1.0,-0.7275433581376358,0.06232810186898468,0.05613523542523141
2.0,-0.7009033740426869,0.06463284591662298,0.06424423960233094
3.0,-0.6652196547952407,0.0687730334226455,0.06849254884591288
4.0,-0.5238578124366374,0.07778650041156615,0.056123800427404655
5.0,-0.4090292289045562,0.08899988771354102,0.04897789067049218
6.0,-0.3259715120440109,0.09632968904144754,0.04639976450417321
7.0,-0.22786623079418056,0.09915322847783026,0.04507521125108104
8.0,-0.21224236793136197,0.11179925896982056,0.041329686540149076
9.0,-0.14931856913293567,0.11954011127861201,0.037772842204608005
10.0,-0.09031454510424772,0.127248920699298,0.03340547980799476
11.0,-0.0369848120957864,0.13445093811989914,0.029166790305677693
12.0,0.09049677263971537,0.14233953113038633,0.02217393055078659
13.0,0.15309537949266028,0.14956186359965826,0.01190456392721124
14.0,0.21270001617187445,0.1545246200499336,0.0038452193393346246
15.0,0.20351797288717483,0.1590750233456227,0.006809695414115338
16.0,0.22067638738022644,0.16137120010996917,0.006061338019222033
17.0,0.23233240527630028,0.1641826876249864,0.007571803208021093
