x/c,y/c
1,0
0.98236,0.00789
0.97761,0.00943
0.96929,0.01212
0.95969,0.01522
0.9493,0.01859
0.93823,0.02216
0.92673,0.02583
0.9151,0.02951
0.90348,0.03316
0.89219,0.03668
0.88128,0.03993
0.87058,0.04317
0.86003,0.04635
0.84951,0.04939
0.83907,0.0525
0.8287,0.05554
0.81826,0.05846
0.80784,0.06146
0.79747,0.06438
0.78698,0.06718
0.77645,0.07008
0.76592,0.07291
0.75527,0.07559
0.74443,0.07832
0.73359,0.08116
0.72287,0.08401
0.71226,0.08674
0.70165,0.08928
0.69088,0.0917
0.67999,0.09418
0.66915,0.09677
0.65848,0.09931
0.64793,0.10171
0.63738,0.1039
0.62666,0.10597
0.61585,0.10813
0.60514,0.11039
0.5946,0.11259
0.58419,0.11464
0.57373,0.11645
0.56306,0.11816
0.55227,0.11997
0.54157,0.12187
0.53105,0.12371
0.52066,0.12537
0.51022,0.12681
0.49958,0.12818
0.48896,0.12967
0.47854,0.13115
0.46828,0.13245
0.45796,0.1335
0.44744,0.13449
0.43694,0.13561
0.42669,0.13669
0.41663,0.13758
0.40653,0.13819
0.39619,0.13873
0.38578,0.13944
0.37545,0.14018
0.36502,0.14076
0.35396,0.14109
0.34222,0.14134
0.33049,0.14151
0.31907,0.14153
0.30775,0.14137
0.29632,0.14107
0.28524,0.14068
0.27461,0.14011
0.26406,0.13937
0.25381,0.13863
0.24452,0.13791
0.23578,0.13683
0.22713,0.13589
0.2188,0.13501
0.21072,0.13385
0.20263,0.13243
0.19455,0.13119
0.1867,0.12997
0.17903,0.12844
0.17127,0.12665
0.16352,0.125
0.15602,0.12326
0.14864,0.12115
0.14117,0.11899
0.1339,0.11693
0.12699,0.1147
0.12026,0.11217
0.11359,0.10979
0.10724,0.10748
0.10125,0.10493
0.09539,0.10224
0.08962,0.09979
0.08413,0.09735
0.07895,0.09463
0.07384,0.09178
0.0688,0.08912
0.06406,0.08639
0.05958,0.08335
0.05511,0.08034
0.05078,0.07749
0.04678,0.07456
0.04308,0.07141
0.03943,0.06833
0.03591,0.06543
0.03272,0.0625
0.02986,0.0594
0.02703,0.05639
0.02425,0.05357
0.0217,0.05079
0.01947,0.04795
0.01733,0.0452
0.0154,0.04248
0.01361,0.03981
0.01193,0.03725
0.01049,0.03468
0.00906,0.03223
0.00783,0.02982
0.00674,0.02744
0.00567,0.02517
0.0048,0.02293
0.00404,0.02073
0.00328,0.01864
0.00267,0.0166
0.00217,0.01462
0.00169,0.01273
0.00128,0.01092
0.00098,0.00916
0.00066,0.00747
0.00042,0.00585
0.00032,0.00427
0.00019,0.00274
0.00004,0.00128
0,-0.00013
0.0001,-0.00152
0.00015,-0.00289
0.00033,-0.00423
0.00047,-0.00557
0.00076,-0.00688
0.00113,-0.00819
0.00147,-0.00951
0.00184,-0.01083
0.00228,-0.01217
0.00288,-0.01347
0.00347,-0.01482
0.00419,-0.01612
0.00504,-0.01741
0.00591,-0.01874
0.00695,-0.02001
0.00803,-0.02132
0.00923,-0.02262
0.01054,-0.0239
0.01192,-0.02523
0.01351,-0.02646
0.0152,-0.02776
0.01709,-0.02899
0.01915,-0.03023
0.02141,-0.03145
0.02388,-0.0327
0.02655,-0.03396
0.02945,-0.03528
0.03264,-0.03651
0.03617,-0.03773
0.03997,-0.03912
0.04406,-0.04045
0.04861,-0.0416
0.05359,-0.0429
0.059,-0.04416
0.06506,-0.04528
0.07173,-0.04655
0.0791,-0.04766
0.0874,-0.04875
0.09633,-0.04975
0.10598,-0.05069
0.1159,-0.05156
0.12611,-0.05227
0.13624,-0.0529
0.14616,-0.05336
0.15565,-0.05381
0.1647,-0.05396
0.17367,-0.05409
0.1827,-0.05438
0.19183,-0.05446
0.20116,-0.05437
0.21071,-0.05446
0.22046,-0.05454
0.23041,-0.05441
0.24052,-0.05428
0.25075,-0.05423
0.26129,-0.05406
0.27176,-0.05387
0.28191,-0.0535
0.29197,-0.05312
0.30204,-0.0529
0.31213,-0.0526
0.32223,-0.0521
0.33239,-0.05163
0.3427,-0.05136
0.35322,-0.05102
0.3639,-0.05052
0.37475,-0.05
0.38589,-0.0496
0.39757,-0.04907
0.40978,-0.04847
0.42211,-0.04785
0.43432,-0.04723
0.44641,-0.04654
0.45848,-0.04584
0.47051,-0.04519
0.48245,-0.04449
0.49435,-0.04375
0.50627,-0.04307
0.51823,-0.04241
0.53024,-0.04168
0.54228,-0.04096
0.55435,-0.04028
0.56644,-0.03955
0.5786,-0.03878
0.59078,-0.03804
0.60289,-0.03728
0.61498,-0.03647
0.62707,-0.03568
0.63915,-0.03493
0.65117,-0.03413
0.66315,-0.03331
0.67511,-0.03253
0.68709,-0.03183
0.69912,-0.03109
0.71114,-0.03031
0.72316,-0.02955
0.73516,-0.02887
0.74716,-0.02815
0.75918,-0.02737
0.7712,-0.02661
0.78322,-0.0259
0.79522,-0.02516
0.80721,-0.02436
0.81922,-0.02358
0.8313,-0.02286
0.84344,-0.02219
0.85563,-0.02149
0.86784,-0.02077
0.88016,-0.0201
0.89253,-0.01944
0.90472,-0.0188
0.91674,-0.0182
0.92871,-0.01762
0.94025,-0.01707
0.95062,-0.01656
0.95938,-0.01613
0.96436,-0.0159
0.98310798,-0.01485777
1,-0.01269206
