Alpha,Cl,Cd,Cm
-20.0,-0.4300562922282229,0.21399084849297434,0.014417397871309792
-19.0,-0.41311403009802794,0.20262759098093738,0.00838420330162917
-18.0,-0.38924711633411174,0.19347210472370546,0.003490304083718409
-17.0,-0.3680694784405321,0.1838466879633196,-0.0018876051128483133
-16.0,-0.35564462088572596,0.17294187732878172,-0.008408613928116877
-15.0,-0.336051092811221,0.16297712035235049,-0.012579522845399042
-14.0,-0.31768294524643065,0.1546591104303757,-0.01692602770900102
-13.0,-0.32404923078544573,0.14475127990344727,-0.022408538701865082
-9.0,-0.6830247063568996,0.027514446521112873,-0.06202555603430201
-8.0,-0.599425032065949,0.020150987599125397,-0.06037216939604157
-7.0,-0.4927986609169826,0.01770551895648008,-0.06078930067639815
-6.0,-0.38347594152410686,0.014695631661833797,-0.06130070216421571
-5.0,-0.26925750028285594,0.013327085745539383,-0.062322556740947374
-4.0,-0.15389711502854675,0.011932127467542191,-0.06351923928862731
-3.0,-0.03744471153318714,0.010821421795284341,-0.06481791947390404
-2.0,0.07994254985387814,0.010084078929975912,-0.06631736952179915
-1.0,0.1972107626925447,0.009381545141482052,-0.0679939488191125
0.0,0.3092079109309417,0.007826441785291623,-0.06915547561048209
1.0,0.44044630503619797,0.007065630208847071,-0.07345450990649326
2.0,0.5559056215714052,0.007403042932598546,-0.07446173256502439
3.0,0.6719986482358027,0.007724185059923974,-0.07562847426056128
4.0,0.7867873734504495,0.008281291250753291,-0.07668229091395459
5.0,0.900581018897397,0.008970635792468692,-0.07764908648377356
6.0,1.0133029850287243,0.009724909749393969,-0.07846904256858425
7.0,1.1226293723944099,0.010790215751545092,-0.07884804088418587
8.0,1.2253326996465255,0.012416454782246369,-0.07831685340689963
9.0,1.3185371889002317,0.014597036994678477,-0.07632071970068138
10.0,1.3934940986965874,0.01760636864892241,-0.07138098867771663
11.0,1.4624732692071734,0.020057186583979248,-0.06517015154907406
12.0,1.504380111220762,0.023328126403834987,-0.05517309762575101
13.0,1.537111119990446,0.028450434049932076,-0.047125341497575884
14.0,1.5615272585410251,0.03524678493648301,-0.04086309919617729
15.0,1.5725275985631995,0.04421554414045204,-0.03621119395594079
16.0,1.5705606354005976,0.055715221666347084,-0.03364473971926242
17.0,1.5604970649950312,0.06947585294992721,-0.0334498919087648
18.0,1.5290260880007038,0.08731264189481751,-0.03582673849885907
19.0,1.4959996497562584,0.10655822258092361,-0.04055355277553185
20.0,1.458170552973487,0.12754520275022538,-0.047924510973586985
