x/c,y/c
1,0
0.97791,0.00584
0.97332,0.00703
0.96556,0.00909
0.95694,0.01141
0.94762,0.01384
0.93759,0.01647
0.92709,0.01929
0.91633,0.02217
0.9052,0.0252
0.89392,0.02825
0.88273,0.03123
0.87165,0.03416
0.86069,0.03712
0.84986,0.03999
0.8391,0.04283
0.82847,0.04568
0.81789,0.04842
0.80733,0.05116
0.79686,0.0539
0.78636,0.05651
0.77575,0.05917
0.76501,0.06189
0.75411,0.06455
0.74306,0.06719
0.73194,0.06982
0.72095,0.07248
0.71023,0.07509
0.6997,0.07752
0.68913,0.07982
0.67845,0.08209
0.6677,0.0844
0.65706,0.08676
0.64668,0.08905
0.63639,0.09113
0.62601,0.09311
0.6155,0.09506
0.60492,0.09705
0.59448,0.09912
0.58431,0.10109
0.5742,0.10284
0.56396,0.10448
0.55355,0.10609
0.54307,0.10774
0.5328,0.10945
0.52288,0.11104
0.51304,0.11239
0.50306,0.11361
0.49293,0.11483
0.48285,0.11612
0.47306,0.11735
0.46339,0.11834
0.45363,0.1192
0.44374,0.12004
0.43389,0.12097
0.42432,0.12191
0.41489,0.12259
0.40538,0.1231
0.39571,0.12358
0.38605,0.12414
0.37665,0.12475
0.3674,0.1251
0.35805,0.12526
0.34854,0.12535
0.33902,0.12549
0.32986,0.12572
0.321,0.12567
0.31209,0.1254
0.30304,0.12508
0.29412,0.12485
0.28544,0.12441
0.27672,0.12377
0.26793,0.12308
0.25929,0.12252
0.25092,0.12176
0.24256,0.12078
0.23413,0.11978
0.22582,0.11891
0.21772,0.11785
0.20959,0.11657
0.20143,0.11525
0.19346,0.11407
0.18582,0.11269
0.17821,0.11107
0.1706,0.10944
0.16325,0.10791
0.15616,0.1061
0.14906,0.1041
0.1419,0.10216
0.13485,0.10014
0.12753,0.09782
0.12018,0.09546
0.11303,0.09295
0.10596,0.09018
0.0989,0.08741
0.09216,0.08475
0.08585,0.08196
0.0798,0.07903
0.07396,0.07621
0.06854,0.07356
0.06355,0.07075
0.05877,0.06786
0.05417,0.06511
0.04989,0.06254
0.046,0.05984
0.04232,0.05711
0.03874,0.05452
0.03536,0.0521
0.0323,0.04958
0.02944,0.04702
0.02669,0.04453
0.02403,0.04224
0.02162,0.04001
0.01946,0.03773
0.01741,0.03557
0.01558,0.03341
0.01386,0.03132
0.01225,0.02933
0.01083,0.02734
0.00947,0.02544
0.00823,0.02359
0.00714,0.02175
0.00608,0.02
0.00515,0.01828
0.00436,0.01655
0.00357,0.01489
0.00291,0.01324
0.00228,0.01161
0.00173,0.01001
0.00133,0.0084
0.00092,0.00683
0.00054,0.00528
0.00032,0.00375
0.00016,0.00223
0.00003,0.00073
0.00001,-0.00073
0.00005,-0.00215
0.00021,-0.00352
0.00042,-0.00486
0.00076,-0.00614
0.00116,-0.0074
0.0017,-0.0086
0.00225,-0.00978
0.00292,-0.01092
0.00359,-0.01208
0.00444,-0.01313
0.00531,-0.01422
0.00625,-0.01527
0.00734,-0.01626
0.00846,-0.01728
0.00972,-0.01821
0.01106,-0.01916
0.0125,-0.02006
0.01404,-0.02096
0.01566,-0.02189
0.01742,-0.02275
0.01928,-0.02366
0.02129,-0.02453
0.02345,-0.02539
0.02577,-0.02624
0.02826,-0.0271
0.03095,-0.02796
0.03391,-0.02871
0.03713,-0.02957
0.04059,-0.0305
0.04433,-0.03139
0.04846,-0.03216
0.05299,-0.03302
0.05789,-0.0339
0.06327,-0.03462
0.06919,-0.03541
0.07563,-0.03616
0.08277,-0.03682
0.09055,-0.03754
0.09903,-0.03813
0.1082,-0.03876
0.11782,-0.0393
0.12802,-0.03977
0.13853,-0.04019
0.14943,-0.04048
0.16052,-0.04072
0.17176,-0.04085
0.18299,-0.04093
0.19409,-0.0409
0.20522,-0.0409
0.2164,-0.04093
0.22772,-0.04085
0.23921,-0.04078
0.25076,-0.0407
0.2624,-0.04056
0.27411,-0.0404
0.28584,-0.04018
0.29783,-0.03989
0.30988,-0.03959
0.32181,-0.03927
0.33365,-0.0389
0.34547,-0.03853
0.35729,-0.03819
0.36912,-0.03781
0.38099,-0.03741
0.39291,-0.03704
0.40486,-0.03663
0.41687,-0.0362
0.42892,-0.03577
0.44098,-0.03533
0.45305,-0.03486
0.46513,-0.03441
0.47717,-0.03395
0.48919,-0.03347
0.5012,-0.03301
0.51322,-0.03257
0.52526,-0.0321
0.53731,-0.03162
0.54936,-0.03117
0.56141,-0.0307
0.57346,-0.03021
0.58549,-0.02974
0.5974,-0.02926
0.60923,-0.02874
0.62103,-0.02822
0.63285,-0.02776
0.64469,-0.02727
0.65652,-0.02676
0.66835,-0.02626
0.68022,-0.0258
0.69217,-0.02535
0.70417,-0.02488
0.71619,-0.0244
0.72823,-0.02396
0.74036,-0.02352
0.75254,-0.02307
0.76474,-0.02262
0.77693,-0.02218
0.78912,-0.02174
0.80131,-0.02128
0.8135,-0.02082
0.82569,-0.02037
0.83788,-0.01994
0.85006,-0.01949
0.86223,-0.01902
0.87441,-0.01857
0.88657,-0.01815
0.89867,-0.01775
0.91068,-0.01737
0.92261,-0.017
0.9344,-0.01665
0.94568,-0.01633
0.956,-0.01605
0.9651,-0.01582
0.97302,-0.01563
0.97772,-0.01552
1,-0.01359888
