x/c,y/c
1,0.02
0.98370967,0.02214082
0.97526,0.02565
0.9698,0.02802
0.96125,0.03157
0.95226,0.03507
0.94288,0.03849
0.93319,0.0418
0.92332,0.04507
0.91342,0.04846
0.90362,0.05204
0.89392,0.05567
0.88427,0.05919
0.87457,0.06246
0.86474,0.06547
0.85481,0.06845
0.84488,0.07161
0.83503,0.07494
0.82526,0.07828
0.81551,0.08147
0.80569,0.08438
0.79572,0.08709
0.78565,0.08981
0.77559,0.09274
0.76561,0.0958
0.75571,0.09884
0.74583,0.10169
0.73586,0.10425
0.72576,0.10664
0.71555,0.10908
0.70537,0.11173
0.69529,0.11448
0.68529,0.11717
0.67531,0.11964
0.66524,0.12182
0.65503,0.12385
0.64474,0.12597
0.6345,0.1283
0.62436,0.13069
0.61431,0.13297
0.60428,0.135
0.59415,0.13673
0.58388,0.13838
0.57356,0.14015
0.5633,0.1421
0.55317,0.14406
0.54314,0.14586
0.5331,0.14736
0.52294,0.14861
0.51265,0.14983
0.50234,0.15124
0.49215,0.15277
0.48209,0.15421
0.4721,0.15542
0.46205,0.15629
0.45183,0.15695
0.44142,0.15759
0.43094,0.1584
0.42053,0.15937
0.4103,0.16034
0.40023,0.16117
0.39025,0.16174
0.38022,0.16198
0.37007,0.16216
0.35993,0.16247
0.34987,0.1627
0.33979,0.16264
0.32964,0.16244
0.31961,0.1623
0.30988,0.16202
0.30029,0.16136
0.29067,0.16059
0.28108,0.15998
0.2717,0.15946
0.26258,0.15882
0.25364,0.15784
0.2447,0.15653
0.23571,0.15518
0.22678,0.15401
0.21809,0.15286
0.20966,0.15153
0.20139,0.14981
0.19313,0.14785
0.18485,0.14596
0.17672,0.14423
0.16888,0.14245
0.16133,0.14042
0.15395,0.13803
0.14659,0.13552
0.13929,0.13318
0.13221,0.13094
0.12547,0.1286
0.11903,0.12596
0.11277,0.12307
0.10655,0.12019
0.10045,0.11752
0.09462,0.11491
0.08913,0.11219
0.08397,0.1092
0.07899,0.10605
0.07408,0.103
0.06926,0.10015
0.0647,0.09738
0.06045,0.09455
0.05653,0.09153
0.05285,0.08838
0.04924,0.08529
0.04566,0.0824
0.04222,0.07964
0.03901,0.07691
0.0361,0.07412
0.03348,0.07121
0.03104,0.06825
0.02865,0.06537
0.02625,0.06265
0.02391,0.06006
0.02172,0.05754
0.01973,0.05503
0.01798,0.05248
0.01644,0.04989
0.01494,0.04737
0.01342,0.04498
0.01196,0.04266
0.01065,0.04037
0.00956,0.03807
0.00861,0.03576
0.00767,0.03352
0.00669,0.03137
0.00573,0.02929
0.00489,0.02725
0.00422,0.02522
0.00371,0.02319
0.00324,0.02119
0.00271,0.01925
0.00216,0.01738
0.00164,0.01555
0.00123,0.01376
0.00097,0.01199
0.00083,0.01024
0.00073,0.0085
0.00059,0.00681
0.00038,0.00516
0.00018,0.00355
0.00003,0.00199
0,0
0.00009,-0.00104
0.00032,-0.00255
0.00066,-0.00406
0.00106,-0.0056
0.00148,-0.00718
0.00187,-0.0088
0.00219,-0.01047
0.00248,-0.01216
0.00283,-0.01383
0.00333,-0.01543
0.00407,-0.01696
0.00501,-0.01843
0.00612,-0.01987
0.00734,-0.02131
0.0086,-0.0228
0.00983,-0.02438
0.01101,-0.02602
0.01222,-0.02766
0.01357,-0.02921
0.01513,-0.03064
0.01691,-0.03196
0.01886,-0.03323
0.02095,-0.03451
0.02311,-0.03587
0.02531,-0.03735
0.02758,-0.03888
0.03,-0.04034
0.03266,-0.04168
0.03556,-0.04292
0.03872,-0.04412
0.04212,-0.04537
0.04571,-0.04676
0.04952,-0.04824
0.05362,-0.04965
0.05812,-0.05095
0.06307,-0.05217
0.06852,-0.05342
0.07445,-0.05481
0.08087,-0.05622
0.08789,-0.0575
0.09568,-0.05868
0.10428,-0.05988
0.11355,-0.0611
0.1234,-0.06217
0.13396,-0.06308
0.14523,-0.06391
0.15695,-0.06466
0.16902,-0.06524
0.18149,-0.06567
0.19429,-0.06598
0.2073,-0.06618
0.22047,-0.06626
0.23379,-0.06621
0.24726,-0.06606
0.26086,-0.06581
0.27452,-0.06548
0.28824,-0.06506
0.30202,-0.06456
0.31588,-0.06397
0.3298,-0.06332
0.34377,-0.0626
0.35776,-0.06183
0.37178,-0.061
0.38582,-0.06011
0.39991,-0.05917
0.41403,-0.05818
0.42818,-0.05714
0.44234,-0.05608
0.4565,-0.05496
0.47069,-0.05381
0.48491,-0.05262
0.49915,-0.0514
0.51338,-0.05015
0.5276,-0.04887
0.54186,-0.04755
0.55615,-0.04621
0.57045,-0.04485
0.58471,-0.04348
0.59892,-0.04208
0.61311,-0.04065
0.62732,-0.03919
0.64157,-0.03771
0.65587,-0.03621
0.6702,-0.03471
0.68456,-0.03321
0.69892,-0.03173
0.71327,-0.03024
0.72759,-0.02874
0.7419,-0.02722
0.75623,-0.02569
0.77056,-0.02413
0.78492,-0.02257
0.7993,-0.021
0.81367,-0.01942
0.82802,-0.01786
0.84233,-0.0163
0.85655,-0.01476
0.87065,-0.01326
0.88459,-0.01178
0.89832,-0.01034
0.9117,-0.00892
0.92461,-0.00755
0.93686,-0.00626
0.9483,-0.00509
0.95884,-0.00405
0.9685,-0.00311
0.97449,-0.00255
0.98370967,-0.00124761
1,0
