x/c,y/c
1,0
0.99484,0.00144
0.98675,0.00393
0.97835,0.00668
0.96967,0.00939
0.96062,0.01203
0.95134,0.01494
0.94183,0.01795
0.93192,0.02088
0.92156,0.02401
0.91096,0.02724
0.9003,0.03039
0.88959,0.03351
0.87892,0.03669
0.86827,0.03977
0.85762,0.04282
0.84705,0.04591
0.83649,0.04886
0.82591,0.05181
0.81539,0.05479
0.80484,0.05763
0.79421,0.06048
0.78359,0.06337
0.77293,0.06612
0.76217,0.06878
0.75132,0.07149
0.7405,0.07429
0.72978,0.07709
0.71911,0.07976
0.7084,0.08225
0.69757,0.08467
0.68669,0.08714
0.67588,0.0897
0.66519,0.09222
0.65457,0.09458
0.64389,0.09675
0.63309,0.09885
0.62224,0.10102
0.61147,0.10326
0.60086,0.10545
0.59033,0.10745
0.57975,0.10924
0.56906,0.11096
0.55833,0.11275
0.5477,0.11464
0.53723,0.11648
0.52685,0.11811
0.5164,0.11951
0.50583,0.12088
0.49528,0.12237
0.48488,0.12384
0.47457,0.12512
0.46417,0.12616
0.45365,0.12718
0.44315,0.12832
0.43284,0.12942
0.42262,0.13029
0.41233,0.13093
0.40191,0.13153
0.39154,0.13225
0.38139,0.13293
0.3714,0.13336
0.36138,0.13352
0.35128,0.13365
0.34126,0.13393
0.33147,0.13419
0.32186,0.13419
0.31221,0.13392
0.30253,0.13373
0.29302,0.13356
0.2836,0.13308
0.27408,0.13242
0.26457,0.13189
0.25528,0.13126
0.24604,0.13028
0.23672,0.12922
0.22754,0.12827
0.21864,0.12714
0.20986,0.12568
0.20109,0.12423
0.19253,0.12293
0.18425,0.12135
0.17603,0.11947
0.16781,0.11772
0.15981,0.11588
0.15191,0.11365
0.14395,0.11141
0.13616,0.10923
0.12861,0.10672
0.12107,0.104
0.11364,0.10144
0.10658,0.09875
0.09978,0.09575
0.09307,0.09285
0.08665,0.09009
0.08064,0.08703
0.07477,0.08384
0.06904,0.08083
0.06369,0.07757
0.0585,0.0741
0.05339,0.07082
0.04864,0.06745
0.04422,0.06384
0.03989,0.06035
0.03582,0.05703
0.03222,0.0536
0.02891,0.05011
0.02568,0.04686
0.02268,0.04379
0.0201,0.04067
0.01768,0.03768
0.01554,0.03473
0.01354,0.03189
0.01176,0.02911
0.01017,0.02641
0.0087,0.02384
0.00748,0.02131
0.0063,0.01893
0.00529,0.01663
0.00447,0.0144
0.00366,0.01228
0.00298,0.01026
0.00244,0.00829
0.00191,0.00644
0.00146,0.00465
0.00114,0.00294
0.00082,0.0013
0.00054,-0.00026
0.00036,-0.00176
0.00021,-0.00319
0.00006,-0.00456
0.00009,-0.00717
0.00013,-0.00849
0.00026,-0.00981
0.0005,-0.01114
0.00072,-0.01249
0.00106,-0.01386
0.00137,-0.01525
0.00178,-0.01666
0.00225,-0.01807
0.00294,-0.01944
0.00361,-0.02086
0.00447,-0.02222
0.00542,-0.02358
0.0065,-0.0249
0.00769,-0.02619
0.00893,-0.02751
0.01034,-0.02874
0.01178,-0.03006
0.01336,-0.0313
0.01509,-0.0325
0.01691,-0.03375
0.01893,-0.03491
0.02108,-0.03616
0.02345,-0.03735
0.02601,-0.0386
0.02881,-0.03981
0.03185,-0.04103
0.0352,-0.0421
0.03884,-0.04326
0.04272,-0.04452
0.04695,-0.0456
0.05153,-0.04666
0.05637,-0.04782
0.06151,-0.04876
0.06698,-0.04964
0.07272,-0.05071
0.07875,-0.05159
0.08513,-0.05229
0.09185,-0.05324
0.09894,-0.05405
0.10643,-0.05466
0.11426,-0.0554
0.12255,-0.05599
0.1316,-0.05648
0.14127,-0.05702
0.1516,-0.05741
0.16248,-0.05778
0.1737,-0.05804
0.18527,-0.05823
0.19701,-0.05838
0.20882,-0.05848
0.22067,-0.05851
0.23252,-0.05847
0.24439,-0.05835
0.25632,-0.05816
0.2683,-0.05792
0.28027,-0.05764
0.29224,-0.05729
0.30422,-0.05689
0.31622,-0.05647
0.3282,-0.05605
0.34014,-0.05561
0.35208,-0.05513
0.36402,-0.05469
0.37595,-0.05422
0.38791,-0.05372
0.39988,-0.05322
0.41183,-0.05272
0.4238,-0.05216
0.4358,-0.0516
0.44776,-0.05104
0.45969,-0.05043
0.47161,-0.04981
0.48352,-0.04922
0.49538,-0.04859
0.50723,-0.04794
0.51907,-0.04733
0.5309,-0.04672
0.54275,-0.04606
0.55463,-0.04539
0.56652,-0.04476
0.57841,-0.04409
0.59032,-0.04339
0.60222,-0.04272
0.61409,-0.04204
0.6259,-0.04132
0.63767,-0.04061
0.64944,-0.03997
0.6612,-0.03932
0.67295,-0.03862
0.68467,-0.03792
0.69639,-0.0373
0.70813,-0.0367
0.71989,-0.03604
0.73166,-0.03536
0.74345,-0.03472
0.75526,-0.03412
0.76708,-0.03348
0.77893,-0.03281
0.79077,-0.03216
0.80261,-0.03154
0.81443,-0.0309
0.8262,-0.03021
0.83795,-0.02957
0.8497,-0.02898
0.86145,-0.02838
0.87314,-0.02774
0.88479,-0.02714
0.89646,-0.02662
0.90816,-0.02615
0.91977,-0.02567
0.93107,-0.02513
0.94194,-0.02461
0.95259,-0.02424
0.96306,-0.02394
0.97303,-0.02363
0.98211,-0.02326
0.98756,-0.02299
1,-0.02157196
