x/c,y/c
1,0.002
0.98199,0.00423
0.9778,0.00518
0.97054,0.00688
0.96223,0.00887
0.95326,0.01101
0.94392,0.01325
0.93425,0.01563
0.92439,0.01804
0.91451,0.02048
0.90459,0.02297
0.89466,0.02547
0.88477,0.0279
0.87483,0.03035
0.8649,0.0328
0.85506,0.03521
0.84529,0.03765
0.83558,0.04005
0.82593,0.0424
0.81638,0.04478
0.80687,0.04713
0.79733,0.04941
0.78784,0.05173
0.77842,0.054
0.76888,0.05617
0.75912,0.05841
0.74932,0.0607
0.73963,0.06296
0.73007,0.06515
0.72056,0.06725
0.71095,0.06924
0.70115,0.07128
0.69132,0.07337
0.68158,0.07543
0.67198,0.07742
0.66247,0.07929
0.65295,0.08104
0.64335,0.0828
0.63376,0.08463
0.62428,0.08647
0.6149,0.08826
0.6056,0.08996
0.59628,0.09153
0.58683,0.09301
0.57731,0.09458
0.56788,0.09619
0.55859,0.09778
0.54942,0.09928
0.5403,0.10066
0.53106,0.10189
0.52164,0.10312
0.51229,0.10441
0.50313,0.10567
0.49412,0.10681
0.48507,0.10779
0.4757,0.10865
0.46614,0.1096
0.45672,0.11054
0.44752,0.11139
0.43845,0.11208
0.42922,0.11258
0.41975,0.11313
0.41035,0.11372
0.40117,0.11424
0.39217,0.11462
0.38313,0.1148
0.37386,0.11495
0.36458,0.11519
0.35548,0.11541
0.34657,0.11553
0.3377,0.11546
0.32866,0.11526
0.31965,0.11513
0.31085,0.11495
0.30214,0.11458
0.29319,0.11405
0.28419,0.11357
0.27543,0.11304
0.26681,0.11232
0.25806,0.11144
0.24932,0.11064
0.24081,0.10978
0.23244,0.10873
0.22394,0.10754
0.21549,0.10645
0.20727,0.10531
0.19917,0.10395
0.19096,0.10245
0.18287,0.10104
0.17501,0.09952
0.16714,0.09771
0.15911,0.09587
0.15129,0.09404
0.14372,0.09203
0.13609,0.08979
0.12852,0.08763
0.12125,0.0854
0.11409,0.08287
0.10684,0.08035
0.0998,0.07787
0.09301,0.0752
0.08623,0.07233
0.07961,0.06955
0.0733,0.06661
0.06704,0.06345
0.06097,0.06038
0.05535,0.05726
0.05004,0.05402
0.04491,0.05099
0.04018,0.04795
0.03575,0.04471
0.0314,0.04162
0.02736,0.03865
0.02376,0.03569
0.0205,0.0329
0.01768,0.03019
0.01517,0.02764
0.01302,0.02522
0.01108,0.023
0.00941,0.02087
0.00786,0.01893
0.00649,0.01709
0.00536,0.01525
0.00431,0.01353
0.00342,0.01189
0.00268,0.01029
0.002,0.00879
0.00145,0.00737
0.00106,0.00598
0.00065,0.00467
0.00039,0.00341
0.00024,0.00218
0.00008,0.00101
0.00006,-0.00124
0.00015,-0.00238
0.00036,-0.00354
0.00065,-0.00471
0.00102,-0.00587
0.00152,-0.00701
0.0021,-0.00814
0.00286,-0.00919
0.00363,-0.01029
0.00456,-0.01131
0.00557,-0.01235
0.00669,-0.01336
0.00797,-0.01434
0.00936,-0.01531
0.01093,-0.01624
0.01263,-0.01719
0.01454,-0.0181
0.01662,-0.01906
0.01897,-0.01997
0.02157,-0.0209
0.02449,-0.02183
0.0278,-0.02275
0.03152,-0.02371
0.03576,-0.02459
0.04051,-0.02563
0.04569,-0.02662
0.05145,-0.02748
0.05772,-0.02846
0.06461,-0.02924
0.07217,-0.03008
0.0803,-0.03077
0.08919,-0.03138
0.09838,-0.0319
0.10782,-0.03242
0.11722,-0.03286
0.12671,-0.03322
0.13622,-0.03361
0.14585,-0.03386
0.15565,-0.03412
0.1655,-0.0343
0.17563,-0.03439
0.18588,-0.03444
0.19617,-0.03444
0.2066,-0.03442
0.21704,-0.03438
0.22747,-0.03432
0.23789,-0.03426
0.24828,-0.03419
0.25869,-0.03409
0.26911,-0.03399
0.27949,-0.03387
0.28992,-0.0337
0.30044,-0.03352
0.31098,-0.03332
0.32154,-0.03311
0.33211,-0.0329
0.3427,-0.03268
0.35329,-0.03246
0.36384,-0.03225
0.37437,-0.03205
0.38488,-0.03184
0.39541,-0.03162
0.40595,-0.03139
0.41646,-0.03115
0.42694,-0.0309
0.43743,-0.03061
0.44794,-0.03031
0.45848,-0.03001
0.46902,-0.02971
0.47955,-0.02941
0.49007,-0.0291
0.50057,-0.0288
0.51109,-0.02852
0.52165,-0.02825
0.53223,-0.02798
0.54282,-0.02772
0.55341,-0.02745
0.56399,-0.02718
0.57455,-0.02691
0.58508,-0.02662
0.59558,-0.02632
0.60607,-0.02599
0.61656,-0.02566
0.62706,-0.02533
0.63756,-0.02501
0.64806,-0.02469
0.65855,-0.02435
0.66902,-0.02403
0.67949,-0.02372
0.69002,-0.02343
0.70059,-0.02314
0.71118,-0.02285
0.72177,-0.02256
0.73235,-0.02228
0.74293,-0.022
0.7535,-0.02173
0.76406,-0.02145
0.77461,-0.02117
0.78515,-0.02087
0.79569,-0.02056
0.80624,-0.02025
0.81678,-0.01994
0.82733,-0.01963
0.83789,-0.01933
0.84845,-0.01903
0.859,-0.01873
0.86953,-0.01843
0.88006,-0.01814
0.89054,-0.01785
0.90092,-0.01756
0.91126,-0.01726
0.92174,-0.01697
0.93225,-0.01668
0.94262,-0.0164
0.95191,-0.01615
0.95966,-0.01594
0.96399,-0.01582
0.98125831,-0.01456002
1,-0.005
