Alpha,Cl,Cd,Cm
-20.0,-0.505141704248255,0.2320522869648027,0.011008802003364388
-19.0,-0.4749574595241374,0.2146008712751043,-0.0007405518916038941
-18.0,-0.20615340416899533,0.16555967452481804,-0.03749057728531601
-16.0,-0.8835257027023766,0.06460781484456325,-0.07843591145694145
-15.0,-0.9520058657723589,0.037317975875965206,-0.10095362499044587
-14.0,-0.3280738935272444,0.13993515981635612,-0.04053762287564858
-13.0,-0.8253731036947864,0.023290756423363423,-0.11044913314865402
-12.0,-0.7212228104667397,0.02047773141285895,-0.11192882162962627
-11.0,-0.6089977049455978,0.017805221574890343,-0.11433302393328322
-10.0,-0.4891748637714479,0.016260707839893394,-0.11700795762741288
-9.0,-0.36970332441041626,0.014588016940369404,-0.11959505621741331
-8.0,-0.24939567839880747,0.01318084452010492,-0.12192474363461184
-7.0,-0.12801242638376617,0.012295848633348266,-0.12410841054208147
-6.0,-0.007112767420359208,0.01144002913307069,-0.12616983137995022
-5.0,0.11311381472564933,0.010871232594195037,-0.12788493086375452
-4.0,0.23302655844310444,0.010375256867827955,-0.12952867032579987
-3.0,0.3515796402166721,0.010002103637789585,-0.13098286132349354
-1.0,0.586722674352613,0.00935604890359941,-0.13395101591819206
0.0,0.7029520823094529,0.009079467241839525,-0.13512527166854923
1.0,0.8027795050317921,0.009100750209555102,-0.13185631875330425
2.0,0.8820009695594767,0.009174403420896893,-0.12387962919855597
3.0,0.9961824707642309,0.009779388912958322,-0.12489091447590901
4.0,1.1051346779498081,0.010484741960446783,-0.12483089762972882
5.0,1.2063158091177597,0.011397619447518909,-0.12330703215865313
6.0,1.300424785588533,0.012444497756813881,-0.12050168043103675
7.0,1.379243191374787,0.013812318218643298,-0.11485011068062509
8.0,1.4564263588952264,0.015409431847505716,-0.10949398074381085
9.0,1.5258730282563788,0.017464487975455984,-0.10353123867014594
10.0,1.5883225871982218,0.02013556909004383,-0.09748480305214277
11.0,1.6442084008378586,0.023516910314505077,-0.09166464151163378
12.0,1.6883756879279679,0.028081145764213535,-0.0857814599282609
13.0,1.7255212377688434,0.033649976240671634,-0.08057840018247395
14.0,1.742425815276155,0.04149193380739803,-0.07540128986173894
15.0,1.7471251324590489,0.05121200725178855,-0.07129352811634697
16.0,1.7383023403070557,0.06310924047159289,-0.0684669371531414
17.0,1.7199708894627503,0.07681840783457956,-0.0671842116074472
18.0,1.700106423642955,0.09130684461116839,-0.06745927971303212
19.0,1.6726734972564696,0.10715671071296046,-0.0693437794693873
20.0,1.6642726145649909,0.12076853240868382,-0.07233043407864212
