Alpha,Cl,Cd,Cm
-20.0,-0.39159913454188694,0.20820986500859254,0.008786911201045227
-19.0,-0.37253965763011004,0.19791748964409986,0.0020325236807428827
-18.0,-0.35310102963323836,0.18772353235301137,-0.003969271687600704
-17.0,-0.3346444834146106,0.17625765338780605,-0.008967546693871415
-16.0,-0.3101019597700185,0.1679240086774192,-0.013983881333485777
-15.0,-0.28927207212818096,0.1591179757390427,-0.019284962019981557
-14.0,-0.27854009974147215,0.1505697528705673,-0.02565373499565889
-13.0,-0.27451105864964354,0.14231481045204233,-0.02853073428532331
-10.0,-0.7415898451760405,0.028599150983666926,-0.07026070408623471
-9.0,-0.6700660058177198,0.019261071353269925,-0.06861426424051552
-8.0,-0.5636304344134758,0.016535124059607175,-0.06879883000879868
-7.0,-0.45143212593821186,0.01462103004000614,-0.06949218220778355
-6.0,-0.33691503979024134,0.013033028937387336,-0.07042582213247116
-5.0,-0.22012413707107356,0.011828398650496449,-0.07164649865163394
-4.0,-0.10158451091158496,0.011216812620842613,-0.07321352757835571
-3.0,0.017007229782154007,0.01036213222730291,-0.07486546283003076
-2.0,0.13659384134809735,0.009742046606994794,-0.07668747231687846
-1.0,0.2557397857475407,0.009091437726004948,-0.07876427410145893
0.0,0.3739899225145977,0.008051497094534813,-0.08112841095195324
1.0,0.4873130770969863,0.0068429089084415355,-0.08119512316108135
2.0,0.607405254553001,0.007118606668982528,-0.08341812389750447
3.0,0.7253926169108643,0.007492097971784827,-0.08528494628422298
4.0,0.8421143485562608,0.00803555680908011,-0.08707885344000309
5.0,0.9579061456919495,0.008634614882763337,-0.08881062620379732
6.0,1.0707935103220787,0.009464854066735489,-0.09021107089752216
7.0,1.1793728964173522,0.010605193180682688,-0.09107073857344815
8.0,1.2820263961541165,0.012079169376127168,-0.09107697349781965
9.0,1.3800281793657547,0.013589065015916592,-0.09030020285417022
10.0,1.457592978289911,0.016085595882512925,-0.08633526441875902
11.0,1.5052292347329348,0.01923519824742724,-0.07740756273559878
12.0,1.5382935754731917,0.02383441328508121,-0.06869595564230639
13.0,1.578221771861389,0.028925684640989505,-0.06317865522578474
14.0,1.6113374426209002,0.03518291552151693,-0.05874949835924193
15.0,1.6306807189143462,0.04329999923251768,-0.05509494047726096
16.0,1.6369339487053551,0.05368475017346608,-0.05273835126058797
17.0,1.6388813180239075,0.06541760683774846,-0.05193947291824649
18.0,1.6276188107259308,0.07953409857505012,-0.05259379999725055
19.0,1.601814311790945,0.09639809652887979,-0.05506069017057494
20.0,1.5742640926772893,0.11423381270349749,-0.059391732551355346
