Alpha,Cl,Cd,Cm
-20.0,-0.5233838087600253,0.2283866161826162,0.01632487479316173
-19.0,-0.49026452675702253,0.21343489671314522,0.006910838754271278
-18.0,-0.45114659406405405,0.2023365509758233,-0.00033379808441207103
-16.0,-0.8667085493602504,0.06901536011348426,-0.06812502123381349
-15.0,-0.9493773008434295,0.0385859286511007,-0.09379981413423961
-14.0,-0.9466829575292433,0.02929013657407038,-0.09420383925925135
-13.0,-0.8876367110780882,0.02524733465344007,-0.08969243446653703
-12.0,-0.8115419573245781,0.022000320526654762,-0.08574010944625611
-11.0,-0.7230085004735842,0.018994707923770403,-0.08324747481529775
-10.0,-0.620908516747257,0.017035827881181652,-0.08221276626182218
-9.0,-0.514530367597699,0.015198687269976053,-0.08176907209145358
-8.0,-0.4033096191091167,0.013895880737257218,-0.0818649115826437
-7.0,-0.2900747594310834,0.012736931725613137,-0.08223626774383519
-6.0,-0.17482029559632767,0.011743121240734183,-0.08297556724961713
-5.0,-0.058339634479662957,0.011007505112412358,-0.08384004575699247
-4.0,0.05916424292342555,0.010462495246756364,-0.08488772023060653
-3.0,0.17666337170318097,0.009998005298801921,-0.08603322589116935
-2.0,0.29429018852302485,0.00952991678322497,-0.08734913458188762
-1.0,0.4094272528873113,0.00904007479126111,-0.08842336270156391
0.0,0.5219039488434498,0.008416761782628505,-0.08891546753804584
1.0,0.6567207091856826,0.00811896648497024,-0.09360542663654818
2.0,0.7681327394203892,0.00869619030029861,-0.09387896415532586
3.0,0.8787430907933391,0.009199409777662102,-0.09396178375490592
4.0,0.9877544815298482,0.00986447273160245,-0.09391927476615883
5.0,1.0960497708390051,0.010530261042415527,-0.09385152551496419
6.0,1.2000927889354813,0.011382603950122337,-0.09315806351689669
7.0,1.2964552346855898,0.012520697307587739,-0.09126142052845454
8.0,1.384023261639462,0.013846867009474413,-0.08790223763918692
9.0,1.4528581104778167,0.015514354951545305,-0.0813027192012679
10.0,1.5188986933021407,0.017575268638848687,-0.07526280706710439
11.0,1.5757789538032045,0.020596368033251083,-0.06931148300565534
12.0,1.6215758294501217,0.024813005108334778,-0.06351732078182769
13.0,1.656177192884503,0.0303749978972957,-0.05817006062337164
14.0,1.6762695983349394,0.03770555244067832,-0.05333360509936127
15.0,1.6801217247244695,0.047441614454801606,-0.049540805276394234
16.0,1.686989336606032,0.05766613425822518,-0.047487445947304356
17.0,1.6759078408205899,0.07055832094294351,-0.0465214127717868
18.0,1.6554726201348722,0.08528129031988656,-0.047045060355418236
19.0,1.617986296863071,0.10289659847537486,-0.04942242763033443
20.0,1.600337467448053,0.11824753441329913,-0.05291736341996804
