x/c,y/c
1,-0.02401
0.98558,0.00236
0.97931,0.0052
0.97337,0.0084
0.96779,0.01182
0.96254,0.01532
0.95754,0.0188
0.95269,0.02219
0.94788,0.02546
0.94295,0.02856
0.93777,0.0315
0.93211,0.03426
0.92578,0.03695
0.91897,0.0399
0.91169,0.04314
0.90398,0.04666
0.89587,0.0504
0.88742,0.05431
0.87868,0.05832
0.86968,0.06238
0.86037,0.06644
0.85066,0.07047
0.84029,0.07453
0.82921,0.07885
0.81756,0.08345
0.80552,0.0882
0.79325,0.09299
0.78088,0.09774
0.76841,0.10237
0.75576,0.10687
0.74279,0.11128
0.72944,0.11567
0.71572,0.12006
0.70176,0.12444
0.68776,0.1288
0.67401,0.13307
0.66078,0.13712
0.64751,0.14043
0.63415,0.14388
0.62083,0.14737
0.60762,0.15081
0.59451,0.1541
0.5814,0.15719
0.56814,0.16002
0.55454,0.16268
0.54062,0.16525
0.52642,0.16772
0.51207,0.1701
0.49772,0.17237
0.4836,0.17452
0.46984,0.17643
0.45624,0.17796
0.44269,0.1792
0.42929,0.18024
0.41628,0.18117
0.40382,0.18191
0.39186,0.18238
0.38027,0.18258
0.36898,0.18265
0.35804,0.18271
0.34753,0.18272
0.33732,0.18232
0.32725,0.18175
0.31726,0.18125
0.30741,0.18071
0.29758,0.17975
0.28763,0.17859
0.27755,0.17747
0.26739,0.17621
0.25711,0.17458
0.24667,0.17267
0.23618,0.17063
0.22592,0.16852
0.21605,0.16621
0.20653,0.16354
0.19714,0.16078
0.18791,0.15806
0.1789,0.15523
0.17011,0.15218
0.1615,0.14889
0.15307,0.14547
0.14488,0.142
0.13704,0.13848
0.12958,0.13486
0.1225,0.13113
0.11575,0.12729
0.10925,0.12346
0.10292,0.11976
0.0968,0.1162
0.09103,0.1124
0.0855,0.10841
0.08015,0.10439
0.07498,0.10045
0.07008,0.09655
0.06548,0.09267
0.06117,0.08881
0.05713,0.08495
0.05333,0.08113
0.0497,0.0774
0.04619,0.0738
0.04279,0.07036
0.03964,0.06691
0.03675,0.06344
0.03404,0.05998
0.03149,0.05657
0.02907,0.05325
0.02677,0.05003
0.0246,0.0469
0.02258,0.04384
0.02071,0.04086
0.01899,0.03793
0.01742,0.03505
0.01596,0.03222
0.01457,0.02947
0.01323,0.0268
0.01192,0.02421
0.0106,0.02173
0.00944,0.01927
0.00845,0.01681
0.00757,0.01437
0.00676,0.01197
0.00597,0.00961
0.00515,0.00733
0.00432,0.00511
0.00366,0.00289
0.00314,0.00068
0.0027,-0.00152
0.00228,-0.00369
0.00184,-0.00582
0.00134,-0.0079
0.00101,-0.00996
0.00086,-0.01203
0.00065,-0.01407
0.00043,-0.01607
0.00022,-0.01804
0.00007,-0.01998
0,-0.02192
0.00004,-0.02387
0.0002,-0.02585
0.00046,-0.02786
0.0008,-0.0299
0.0012,-0.03198
0.00168,-0.03409
0.00228,-0.03621
0.00301,-0.03834
0.00389,-0.04047
0.0049,-0.04259
0.00605,-0.04469
0.00731,-0.0468
0.00867,-0.04892
0.01008,-0.05109
0.01153,-0.05331
0.01312,-0.05551
0.0149,-0.05767
0.01687,-0.05977
0.01903,-0.06181
0.02134,-0.06381
0.02374,-0.06587
0.02622,-0.06798
0.02881,-0.07013
0.03155,-0.07227
0.03448,-0.07437
0.03761,-0.07643
0.04094,-0.07846
0.04448,-0.08047
0.04822,-0.08248
0.05214,-0.08452
0.05627,-0.08658
0.06063,-0.08861
0.06524,-0.09059
0.07013,-0.09254
0.07531,-0.09449
0.08077,-0.09647
0.08652,-0.09846
0.09256,-0.10038
0.09892,-0.10215
0.10564,-0.10377
0.1127,-0.10549
0.12009,-0.10727
0.12784,-0.10898
0.13601,-0.11056
0.14463,-0.11203
0.15369,-0.11341
0.16312,-0.11479
0.17279,-0.11604
0.18275,-0.11696
0.19312,-0.11785
0.20387,-0.1188
0.215,-0.11966
0.22655,-0.1203
0.23855,-0.12075
0.25094,-0.12106
0.26369,-0.12119
0.2768,-0.12119
0.29021,-0.12108
0.30372,-0.12093
0.31708,-0.12076
0.33043,-0.11999
0.34404,-0.11932
0.35777,-0.11871
0.37157,-0.11805
0.38552,-0.11721
0.39986,-0.11607
0.4148,-0.11474
0.43019,-0.11333
0.44575,-0.11185
0.46131,-0.1103
0.47678,-0.10866
0.49221,-0.1069
0.50765,-0.10498
0.52318,-0.10295
0.53878,-0.10085
0.55439,-0.09874
0.56989,-0.09669
0.58516,-0.09458
0.6003,-0.0923
0.61544,-0.08989
0.63066,-0.08742
0.64599,-0.08495
0.66141,-0.08257
0.67683,-0.08021
0.69225,-0.07769
0.7077,-0.07504
0.72321,-0.07228
0.7388,-0.06944
0.75446,-0.06654
0.77017,-0.06362
0.78589,-0.06071
0.80157,-0.05786
0.81714,-0.05511
0.83251,-0.05249
0.84761,-0.05003
0.86238,-0.04748
0.8769,-0.04482
0.89126,-0.04215
0.90551,-0.03952
0.91971,-0.03702
0.93387,-0.03472
0.94791,-0.03249
0.96167,-0.03028
0.975,-0.02812
0.9878,-0.02603
1,-0.02401
