x/c,y/c
1,0.0162825
0.98648,0.01836
0.98185,0.01926
0.97407,0.02083
0.96549,0.02262
0.95652,0.02451
0.94746,0.02643
0.93841,0.02836
0.92936,0.03032
0.92032,0.03227
0.91131,0.03419
0.90234,0.03613
0.89339,0.03808
0.88445,0.03996
0.87551,0.04187
0.86658,0.04382
0.85766,0.04572
0.84877,0.04764
0.8399,0.04962
0.83099,0.0516
0.82203,0.05354
0.81306,0.05553
0.8041,0.0575
0.79514,0.05943
0.7862,0.06138
0.77731,0.06331
0.76842,0.06516
0.75947,0.06694
0.75047,0.06875
0.74148,0.0706
0.73252,0.07244
0.72361,0.07422
0.7147,0.07591
0.70576,0.07751
0.69677,0.0791
0.68777,0.08074
0.6788,0.08241
0.66987,0.08405
0.66097,0.08562
0.65206,0.08709
0.6431,0.08846
0.63411,0.08985
0.62513,0.09132
0.61619,0.0928
0.60729,0.09425
0.5984,0.09561
0.58949,0.09684
0.58051,0.098
0.5715,0.0992
0.56251,0.10046
0.55358,0.10171
0.54471,0.1029
0.53585,0.10397
0.52693,0.10489
0.51792,0.10578
0.50891,0.10673
0.49996,0.10768
0.49109,0.10854
0.48224,0.10925
0.47332,0.10982
0.46434,0.11042
0.45538,0.11108
0.44651,0.11171
0.43769,0.11222
0.42887,0.11254
0.41996,0.11279
0.41102,0.11314
0.40215,0.11352
0.39337,0.11383
0.3846,0.11397
0.37575,0.11393
0.36681,0.11391
0.35788,0.11397
0.34906,0.114
0.34032,0.1139
0.33154,0.11359
0.32265,0.11324
0.3138,0.11294
0.30507,0.11256
0.29637,0.11195
0.28756,0.11128
0.27879,0.11068
0.27015,0.10999
0.26153,0.10907
0.2528,0.1081
0.24412,0.1072
0.23557,0.1062
0.22703,0.10494
0.21839,0.10365
0.20984,0.10244
0.20145,0.10109
0.19307,0.09945
0.18459,0.09781
0.17626,0.09618
0.16809,0.09431
0.15986,0.09225
0.15166,0.09029
0.14366,0.08818
0.13566,0.08576
0.12759,0.08343
0.11972,0.08104
0.1119,0.07829
0.10397,0.07553
0.09623,0.07278
0.08868,0.06971
0.08109,0.06658
0.07383,0.06343
0.06684,0.05994
0.05992,0.05656
0.05341,0.05302
0.047,0.04925
0.04079,0.04562
0.03496,0.04157
0.02917,0.03758
0.0239,0.03365
0.01929,0.02976
0.01539,0.02607
0.01213,0.02262
0.00937,0.01951
0.0071,0.0167
0.00533,0.01416
0.0039,0.01193
0.00285,0.00992
0.002,0.00815
0.00138,0.00655
0.00095,0.00507
0.00052,0.00377
0.00032,0.00254
0.00019,0.00138
0.00002,0.00035
0.00006,-0.00064
0.00014,-0.0017
0.00037,-0.00282
0.00064,-0.00403
0.00111,-0.00528
0.00176,-0.00657
0.00261,-0.0079
0.00376,-0.00917
0.00509,-0.01049
0.0067,-0.0118
0.00864,-0.01307
0.01092,-0.01437
0.01365,-0.0157
0.01693,-0.01706
0.0209,-0.0184
0.02573,-0.01974
0.03157,-0.02102
0.03829,-0.02218
0.04549,-0.02338
0.05296,-0.02428
0.06069,-0.02518
0.0687,-0.02584
0.077,-0.0265
0.08557,-0.02694
0.09442,-0.02732
0.10335,-0.0276
0.11238,-0.02785
0.12139,-0.02806
0.13043,-0.02819
0.13949,-0.02834
0.14855,-0.0284
0.15768,-0.02843
0.16679,-0.02843
0.17595,-0.02834
0.18519,-0.02824
0.19444,-0.02811
0.20371,-0.02796
0.213,-0.0278
0.22229,-0.02764
0.23158,-0.02747
0.24088,-0.02729
0.25015,-0.02712
0.25942,-0.02692
0.26872,-0.02671
0.278,-0.0265
0.28726,-0.02626
0.29655,-0.02598
0.30587,-0.02569
0.3152,-0.0254
0.32453,-0.02511
0.33386,-0.02481
0.3432,-0.02452
0.35253,-0.02423
0.36186,-0.02394
0.37117,-0.02365
0.38048,-0.02339
0.38979,-0.02312
0.39912,-0.02285
0.40845,-0.02256
0.41777,-0.02227
0.42707,-0.02198
0.43636,-0.02166
0.44566,-0.02132
0.45498,-0.02097
0.46431,-0.02061
0.47364,-0.02025
0.48298,-0.01989
0.49231,-0.01953
0.50164,-0.01917
0.51095,-0.01882
0.52026,-0.01848
0.52957,-0.01815
0.53889,-0.01784
0.54822,-0.01753
0.55755,-0.01722
0.56687,-0.0169
0.57618,-0.01657
0.58548,-0.01622
0.59479,-0.01588
0.6041,-0.01553
0.61343,-0.01519
0.62275,-0.01485
0.63207,-0.01451
0.6414,-0.01416
0.65073,-0.01381
0.66007,-0.01346
0.66941,-0.0131
0.67874,-0.01273
0.68807,-0.01237
0.69739,-0.012
0.70672,-0.01163
0.71604,-0.01126
0.72537,-0.01089
0.73471,-0.01052
0.74404,-0.01015
0.75336,-0.00979
0.76267,-0.00943
0.77199,-0.00909
0.78131,-0.00874
0.79063,-0.00838
0.79995,-0.00801
0.80926,-0.00763
0.81857,-0.00725
0.82789,-0.00687
0.8372,-0.00649
0.84652,-0.00612
0.85584,-0.00574
0.86515,-0.00535
0.87446,-0.00498
0.88377,-0.00461
0.8931,-0.00425
0.90243,-0.00389
0.91175,-0.00353
0.92106,-0.00316
0.93038,-0.00279
0.93968,-0.00242
0.94892,-0.00207
0.95796,-0.00173
0.96649,-0.00139
0.97422,-0.00106
0.97889,-0.00086
1,0
