x/c,y/c
1,0.01678736
0.99746,0.01755
0.97342,0.02609
0.95583,0.03202
0.94084,0.03719
0.91375,0.04593
0.89871,0.05084
0.87145,0.05912
0.85637,0.06375
0.8368,0.06942
0.82593,0.07263
0.80632,0.0781
0.79011,0.08262
0.76087,0.0903
0.74457,0.09453
0.71521,0.10162
0.69882,0.1055
0.65848,0.1142
0.63597,0.11891
0.5953,0.12641
0.57932,0.12936
0.55052,0.1339
0.53447,0.13648
0.50567,0.14024
0.48958,0.14236
0.45674,0.14565
0.43837,0.14748
0.40526,0.14951
0.39102,0.15045
0.36548,0.1511
0.35116,0.15161
0.32576,0.15137
0.3114,0.15133
0.28866,0.15026
0.27582,0.1497
0.25304,0.14756
0.24135,0.14656
0.22072,0.14365
0.20902,0.14215
0.1887,0.13826
0.17709,0.13611
0.15967,0.13163
0.14973,0.1291
0.13258,0.12346
0.12393,0.12074
0.10918,0.11487
0.10066,0.11162
0.08649,0.10475
0.07832,0.10084
0.0669,0.094
0.06032,0.09013
0.04971,0.08219
0.04438,0.07822
0.03596,0.07036
0.03098,0.0659
0.02353,0.05726
0.01921,0.0523
0.01638,0.04822
0.01477,0.04592
0.01222,0.04156
0.00981,0.03703
0.00611,0.0286
0.00429,0.02376
0.00188,0.01509
0.0009,0.01023
0.00046,0.00721
0.00034,0.0062
0.00004,0.00178
0,0
0.0001,-0.00098
0.00034,-0.00335
0.00042,-0.00382
0.00063,-0.00535
0.00092,-0.00729
0.00158,-0.00998
0.00213,-0.01188
0.00316,-0.01441
0.00394,-0.01617
0.00524,-0.01831
0.00616,-0.0198
0.00769,-0.02182
0.00904,-0.02349
0.01117,-0.02569
0.01276,-0.02719
0.01515,-0.02908
0.01689,-0.03036
0.01948,-0.0321
0.02131,-0.03329
0.02401,-0.03489
0.02967,-0.03752
0.03756,-0.04086
0.04358,-0.04284
0.05185,-0.04536
0.05798,-0.04689
0.06778,-0.04896
0.07497,-0.05021
0.08489,-0.05172
0.09478,-0.05307
0.10843,-0.05465
0.11842,-0.05543
0.13224,-0.05637
0.14225,-0.05685
0.15705,-0.05742
0.1677,-0.05769
0.18247,-0.05789
0.19613,-0.05801
0.21507,-0.05795
0.2287,-0.05777
0.24767,-0.05738
0.26124,-0.05703
0.2803,-0.05632
0.28636,-0.05595
0.31289,-0.05481
0.32766,-0.05376
0.3484,-0.05298
0.35564,-0.05242
0.36933,-0.05167
0.38665,-0.05075
0.41118,-0.04908
0.4284,-0.04802
0.45292,-0.0462
0.47003,-0.04506
0.49361,-0.04323
0.51019,-0.04204
0.53378,-0.04008
0.55262,-0.03865
0.57922,-0.0363
0.59798,-0.0348
0.62454,-0.0324
0.64322,-0.03087
0.67169,-0.02829
0.69183,-0.02659
0.72038,-0.02398
0.73921,-0.0224
0.76575,-0.01996
0.78454,-0.01838
0.811,-0.01597
0.82975,-0.01441
0.84729,-0.0129
0.87253,-0.01053
0.89021,-0.00906
0.91541,-0.0068
0.93324,-0.00538
0.95842,-0.00327
1,-0.00031
