Alpha,Cl,Cd,Cm
-20.0,-0.3997665927225544,0.21939439957936036,-0.02289920382242303
-18.0,-0.672915488808176,0.11397517325671959,-0.07379228262428053
-17.0,-0.7280603166819947,0.09085939144401899,-0.0867605794910281
-16.0,-0.8061708547358685,0.07093193802079344,-0.09376059399800145
-15.0,-0.8448681780843194,0.0527041960956424,-0.10521338329782613
-14.0,-0.8024594157029669,0.039758740630769784,-0.11974919614696788
-13.0,-0.7643453856239889,0.03200603120413757,-0.1231891179401766
-12.0,-0.7482811069199571,0.027134416114124267,-0.11469483280841539
-11.0,-0.7137836533651077,0.024439626510811205,-0.10385405506962435
-10.0,-0.6464218327091052,0.022085997015925386,-0.09715480105987552
-9.0,-0.5587378946894799,0.020279043733170906,-0.09321506292212615
-8.0,-0.4607278657413965,0.01880292446911668,-0.0907757758806537
-7.0,-0.35628029750784035,0.017399660540296565,-0.08949937052379982
-6.0,-0.24587563094416356,0.016398175113147635,-0.08946403583520778
-5.0,-0.13244348747347692,0.015459558959590777,-0.08999014473044341
-4.0,-0.01841931013484777,0.014717813808216159,-0.09048636037109273
-3.0,0.09719796389402927,0.014053941769000957,-0.09160860084015258
-2.0,0.21224587150236443,0.013534618769315642,-0.09254218951028416
-1.0,0.325676507642936,0.013092277549603262,-0.09335312493948415
0.0,0.4359505335211273,0.012858384959324896,-0.09333076934433145
1.0,0.5427395409621162,0.012773446437031053,-0.0923642694447021
2.0,0.6363904451539218,0.013104410619302892,-0.08784188791839194
3.0,0.751220322533219,0.013832885369775979,-0.08785082373190892
4.0,0.9138773102993011,0.015116278202648563,-0.0999755844741026
5.0,0.9630444028681299,0.015798219127738156,-0.0893564484074127
6.0,1.0257500222011824,0.01678746469901424,-0.08134207507139365
7.0,1.0902397724485824,0.018569925749701,-0.07484162787424045
8.0,1.158715823666643,0.02079144636420986,-0.06997374277672501
9.0,1.2243637470524364,0.023522031852590455,-0.06557860509082358
10.0,1.2821760252871437,0.026993091907658046,-0.06106172323350406
11.0,1.3411946450184722,0.030726315322271464,-0.057492913365752296
12.0,1.398519240359204,0.03489875355847715,-0.05460237205524157
13.0,1.437075943731753,0.04090921283114395,-0.05119899949646925
14.0,1.4706971876249009,0.04772020148061988,-0.04834240519539894
15.0,1.5051751809954805,0.05504270792254483,-0.04674929266689053
16.0,1.5187825656809713,0.06479450445461732,-0.04528027956735433
17.0,1.5250693438598777,0.0755430552111651,-0.0443700181578422
18.0,1.537007248838497,0.08635125045812594,-0.04495104851346463
19.0,1.5266947954348047,0.1000882232260625,-0.04650843571065981
20.0,1.5185137863526654,0.11366941641349462,-0.04910602199691959
