Alpha,Cl,Cd,Cm
-20.0,-0.5777451969627337,0.233746802075378,0.03403978711541661
-19.0,-0.5392973490586803,0.22181777456791446,0.025242206356886447
-18.0,-0.5073532697443595,0.20582493741212818,0.014865495248333086
-17.0,-0.46768185290242387,0.19478609045173853,0.007526457614068685
-16.0,-0.26342654952830336,0.15157650760603228,-0.020919025899352982
-15.0,-0.24804649113147115,0.1453808206654866,-0.02149316302988759
-14.0,-0.8508894491670138,0.04760674546131158,-0.07696264520408355
-13.0,-0.9321832465153647,0.033517597451661565,-0.07198275946473502
-12.0,-0.9210692472724011,0.028410795968426748,-0.05933591689697823
-11.0,-0.8698165479396772,0.023880737732306152,-0.05136670253634322
-10.0,-0.7906743764593036,0.021148560856474048,-0.04630556869926785
-9.0,-0.703593530434762,0.018379148790291906,-0.04211469284488422
-8.0,-0.6096767064787898,0.0161217777168328,-0.03893093401640831
-7.0,-0.5090773535325634,0.014399929361392451,-0.03657935806436436
-6.0,-0.4047787542836864,0.013033495632862302,-0.03486163786655676
-5.0,-0.29893681178746223,0.011824499655155104,-0.033368043058580564
-3.0,-0.08006237612251967,0.010158061863512494,-0.031828931645164774
-2.0,0.0319843071422599,0.009516774317664277,-0.03173101398796233
-1.0,0.1449235558936389,0.008892292165306646,-0.03206574001527729
0.0,0.26324954561026326,0.007749712790210826,-0.034211222584266794
1.0,0.5586655273075646,0.007866982791861188,-0.07658210275497893
2.0,0.6720362577823142,0.0080422378015166,-0.0772912100322693
3.0,0.7851702242783368,0.008381109140697533,-0.07810828252590231
4.0,0.8973599134784201,0.00883954762412648,-0.07887191009547331
5.0,1.0075633195638343,0.009466063640642612,-0.07942501446650746
6.0,1.1148343802689697,0.010266076028674383,-0.07959181985443667
7.0,1.2181439205635207,0.011255474557528096,-0.07919605196052232
8.0,1.3137500386719678,0.012642030336022876,-0.07765201730024734
9.0,1.3999289831000308,0.014341221796932401,-0.07460872527286477
10.0,1.4708651332476705,0.016392859300621322,-0.0691080699527362
11.0,1.4958170637302122,0.019755313074887253,-0.05669324951376116
12.0,1.5287461871333805,0.024268013521229963,-0.04865726512723875
13.0,1.5500708696743242,0.030631530667639007,-0.04197536900608787
14.0,1.5655048347550433,0.038428383750443475,-0.0371387956762881
15.0,1.586546986868263,0.0465612430227182,-0.03439138695087102
16.0,1.5856030784545698,0.05775454240902468,-0.03249917536345771
17.0,1.5874376161274357,0.06935301674247447,-0.032090637055862334
18.0,1.572931510038722,0.08369395794661967,-0.03306215478362159
19.0,1.5471893928940057,0.1002978237380765,-0.03569638190034482
20.0,1.5141627468134495,0.11870004121612349,-0.040206212332667954
