x/c,y/c
1,0
0.99486,0.00155
0.98599,0.0041
0.97669,0.00679
0.96758,0.00947
0.95842,0.01217
0.94913,0.01487
0.93983,0.01759
0.93051,0.02036
0.92117,0.02313
0.91186,0.02592
0.90253,0.02868
0.89322,0.03138
0.88394,0.03399
0.87469,0.03658
0.86552,0.03921
0.8564,0.04183
0.8473,0.04435
0.83823,0.04692
0.82922,0.04954
0.82018,0.05203
0.81111,0.05451
0.80208,0.05708
0.79305,0.05951
0.78394,0.06185
0.77478,0.06426
0.76561,0.06669
0.75638,0.06901
0.74711,0.07126
0.73781,0.07349
0.72851,0.07578
0.71926,0.07814
0.71006,0.0805
0.70086,0.08271
0.69161,0.0848
0.68231,0.08684
0.67299,0.08889
0.66368,0.09101
0.65443,0.09319
0.64524,0.09529
0.63603,0.09721
0.62678,0.09901
0.61748,0.10077
0.60815,0.10257
0.59886,0.10448
0.58964,0.10642
0.58046,0.10821
0.57124,0.10982
0.56196,0.11131
0.55263,0.11278
0.54328,0.1143
0.53399,0.11594
0.52479,0.11757
0.51561,0.11899
0.50637,0.12022
0.49706,0.12138
0.48771,0.12259
0.47842,0.12391
0.4692,0.12513
0.45997,0.12613
0.45066,0.127
0.44128,0.12786
0.43192,0.12882
0.42269,0.12978
0.41352,0.13051
0.40432,0.13103
0.39504,0.13148
0.38573,0.132
0.37652,0.13266
0.36743,0.13316
0.35834,0.13337
0.34918,0.13343
0.33996,0.13352
0.3308,0.13379
0.3218,0.13399
0.31283,0.13385
0.30377,0.13354
0.29466,0.13333
0.28567,0.13312
0.2767,0.13258
0.26763,0.1319
0.25855,0.13134
0.24964,0.1307
0.24077,0.12972
0.23182,0.12863
0.22291,0.12772
0.2142,0.12664
0.20551,0.12521
0.19675,0.12376
0.18811,0.12249
0.17968,0.12084
0.17118,0.11889
0.16264,0.11707
0.15433,0.11503
0.14601,0.1126
0.13762,0.11023
0.12949,0.10777
0.12151,0.10489
0.11347,0.102
0.10566,0.09921
0.09811,0.09594
0.09052,0.09266
0.08319,0.08948
0.07615,0.08575
0.06906,0.08203
0.06234,0.0781
0.05574,0.07373
0.04925,0.06953
0.04329,0.06489
0.03741,0.06017
0.03196,0.05558
0.02701,0.05061
0.02217,0.04598
0.01806,0.0412
0.01443,0.03644
0.01129,0.03184
0.00864,0.02753
0.00658,0.02357
0.00487,0.02008
0.00362,0.01694
0.00266,0.01417
0.00186,0.01174
0.00133,0.00957
0.00094,0.00765
0.00057,0.00597
0.00036,0.00445
0.00026,0.00304
0.00018,0.00175
0.00005,0.0006
0.00002,-0.00044
0.00004,-0.00156
0.0001,-0.00277
0.00025,-0.00408
0.00046,-0.00552
0.0008,-0.00708
0.0013,-0.00876
0.00195,-0.01057
0.00285,-0.01246
0.00399,-0.01444
0.00548,-0.01642
0.00722,-0.01849
0.00932,-0.02054
0.01179,-0.02253
0.01466,-0.02453
0.01803,-0.02648
0.02199,-0.02849
0.02674,-0.0306
0.0324,-0.03271
0.03893,-0.03467
0.04593,-0.03665
0.05325,-0.03828
0.06092,-0.03977
0.06879,-0.04102
0.07696,-0.04213
0.08535,-0.04305
0.09408,-0.04391
0.1031,-0.04465
0.1123,-0.04529
0.12154,-0.04593
0.13087,-0.0464
0.14027,-0.04685
0.14965,-0.0472
0.1591,-0.04745
0.16851,-0.04768
0.17791,-0.04777
0.18729,-0.04787
0.19665,-0.04784
0.20606,-0.04789
0.21545,-0.04789
0.22494,-0.04778
0.23451,-0.04772
0.24405,-0.04764
0.25367,-0.04746
0.2634,-0.04728
0.27315,-0.04711
0.28287,-0.0469
0.29259,-0.04666
0.30233,-0.04638
0.3121,-0.04607
0.32189,-0.04577
0.33167,-0.04545
0.34143,-0.04511
0.35119,-0.04476
0.36096,-0.04441
0.37072,-0.04405
0.38046,-0.04369
0.39023,-0.0433
0.40003,-0.0429
0.40982,-0.04249
0.4196,-0.04207
0.42937,-0.04163
0.43914,-0.04118
0.44891,-0.04071
0.45868,-0.04022
0.46843,-0.03973
0.47818,-0.03926
0.48792,-0.03879
0.49766,-0.0383
0.50737,-0.0378
0.51707,-0.03734
0.52676,-0.03689
0.53646,-0.03643
0.54618,-0.03594
0.55592,-0.03546
0.56566,-0.03499
0.57539,-0.03452
0.58514,-0.03402
0.59492,-0.03351
0.6047,-0.033
0.61448,-0.03248
0.62422,-0.03194
0.63395,-0.03141
0.64367,-0.0309
0.65341,-0.0304
0.66316,-0.02989
0.67288,-0.02936
0.68256,-0.02884
0.69221,-0.02837
0.70188,-0.02792
0.71155,-0.02747
0.72125,-0.02699
0.73095,-0.0265
0.74066,-0.02604
0.75036,-0.0256
0.76006,-0.02515
0.76978,-0.02468
0.77951,-0.0242
0.78926,-0.02373
0.79902,-0.02327
0.80877,-0.02281
0.8185,-0.02232
0.82819,-0.02184
0.83787,-0.0214
0.84758,-0.02097
0.85731,-0.02053
0.86702,-0.0201
0.8768,-0.0197
0.88657,-0.01932
0.89637,-0.01894
0.90614,-0.01858
0.91593,-0.01824
0.92571,-0.01791
0.93548,-0.01758
0.94526,-0.01726
0.95501,-0.01695
0.96473,-0.01664
0.97422,-0.01635
0.98366,-0.01607
0.99293,-0.01582
0.99831,-0.01568
1,-0.01559879
